CVE,commit_file_location,git_repo_location,work_dir
CVE-2024-32258,/path/to/commit_info/TASEmulators@@fceux/CVE-2024-32258_3e1a8ec4865510279dfcc2453b5d906a8fd2a98a.diff,/path/to/signature/repo/TASEmulators@@fceux,/path/to/work
CVE-2023-29994,/path/to/commit_info/nanomq@@NanoNNG/CVE-2023-29994_0e215b8d3de29dcec8b02ee9196ca3bfd5a8c653.diff,/path/to/signature/repo/nanomq@@NanoNNG,/path/to/work
CVE-2023-1611,/path/to/commit_info/torvalds@@linux/CVE-2023-1611_2f1a6be12ab6c8470d5776e68644726c94257c54.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2024-38536,/path/to/commit_info/OISF@@suricata/CVE-2024-38536_2bd3bd0e318f19008e9fe068ab17277c530ffb92.diff,/path/to/signature/repo/OISF@@suricata,/path/to/work
CVE-2023-43826,/path/to/commit_info/apache@@guacamole-server/CVE-2023-43826_dfb708498d1286c6e6403b47e08587109670bfce.diff,/path/to/signature/repo/apache@@guacamole-server,/path/to/work
CVE-2023-4722,/path/to/commit_info/gpac@@gpac/CVE-2023-4722_de7f3a852bef72a52825fd307cf4e8f486401a76.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-0056,/path/to/commit_info/haproxy@@haproxy/CVE-2023-0056_827a6299e6995c5c3ba620d8b7cbacdaef67f2c4.diff,/path/to/signature/repo/haproxy@@haproxy,/path/to/work
CVE-2023-5377,/path/to/commit_info/gpac@@gpac/CVE-2023-5377_8e9d6b38c036a97020c462ad48e1132e0ddc57ce.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-1194,/path/to/commit_info/torvalds@@linux/CVE-2023-1194_fc6c6a3c324c1b3e93a03d0cfa3749c781f23de0.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-2430,/path/to/commit_info/torvalds@@linux/CVE-2023-2430_e12d7a46f65ae4b7d58a5e0c1cbfa825cf8d830d.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-1448,/path/to/commit_info/gpac@@gpac/CVE-2023-1448_8db20cb634a546c536c31caac94e1f74b778b463.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2024-26529,/path/to/commit_info/mz-automation@@libiec61850/CVE-2024-26529_cf94d64206cf53298edf4799a75b31657bb7cbb3.diff,/path/to/signature/repo/mz-automation@@libiec61850,/path/to/work
CVE-2023-50009,/path/to/commit_info/FFmpeg@@FFmpeg/CVE-2023-50009_c443658d26d2b8e19901f9507a890e0efca79056.diff,/path/to/signature/repo/FFmpeg@@FFmpeg,/path/to/work
CVE-2024-0901,/path/to/commit_info/wolfSSL@@wolfssl/CVE-2024-0901_9db20774d8abe0725734d48090bd4f650a477b8a.diff,/path/to/signature/repo/wolfSSL@@wolfssl,/path/to/work
CVE-2023-49554,/path/to/commit_info/yasm@@yasm/CVE-2023-49554_9defefae9fbcb6958cddbfa778c1ea8605da8b8b.diff,/path/to/signature/repo/yasm@@yasm,/path/to/work
CVE-2024-31036,/path/to/commit_info/nanomq@@nanomq/CVE-2024-31036_8988d417c25ddc89dc07c804964034541e345d7c.diff,/path/to/signature/repo/nanomq@@nanomq,/path/to/work
CVE-2023-4424,/path/to/commit_info/zephyrproject-rtos@@zephyr/CVE-2023-4424_3f0d7012a6f0ecfa3925baabac2006e3e6c94f71.diff,/path/to/signature/repo/zephyrproject-rtos@@zephyr,/path/to/work
CVE-2024-24267,/path/to/commit_info/gpac@@gpac/CVE-2024-24267_d28d9ba45cf4f628a7b2c351849a895e6fcf2234.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-4387,/path/to/commit_info/torvalds@@linux/CVE-2023-4387_9e7fef9521e73ca8afd7da9e58c14654b02dfad8.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-52458,/path/to/commit_info/torvalds@@linux/CVE-2023-52458_6f64f866aa1ae6975c95d805ed51d7e9433a0016.diff,/path/to/signature/repo/torvalds@@linux,/path/to/work
CVE-2023-51791,/path/to/commit_info/FFmpeg@@FFmpeg/CVE-2023-51791_fb54c89a0df3d63198678b17d64aef4dbb599109.diff,/path/to/signature/repo/FFmpeg@@FFmpeg,/path/to/work
CVE-2023-4264,/path/to/commit_info/zephyrproject-rtos@@zephyr/CVE-2023-4264_ddd2bc94e2f4b51a3ac6f1f0e63e5665266c0f3f.diff,/path/to/signature/repo/zephyrproject-rtos@@zephyr,/path/to/work
CVE-2023-23609,/path/to/commit_info/contiki-ng@@contiki-ng/CVE-2023-23609_506f9def7cdff853fa24cf6d88e1f4e5619dc46c.diff,/path/to/signature/repo/contiki-ng@@contiki-ng,/path/to/work
CVE-2023-31607,/path/to/commit_info/openlink@@virtuoso-opensource/CVE-2023-31607_ea8b2c975c6c96f36e34014d6c71a73761198ebe.diff,/path/to/signature/repo/openlink@@virtuoso-opensource,/path/to/work
CVE-2024-35434,/path/to/commit_info/irontec@@sngrep/CVE-2024-35434_da80ced1e3cf6321f748b08e145a829bcc3c90e5.diff,/path/to/signature/repo/irontec@@sngrep,/path/to/work
CVE-2023-52558,/path/to/commit_info/openbsd@@src/CVE-2023-52558_7b4d35e0a60ba1dd4daf4b1c2932020a22463a89.diff,/path/to/signature/repo/openbsd@@src,/path/to/work
CVE-2023-48906,/path/to/commit_info/bluekitchen@@btstack/CVE-2023-48906_d7d45b32136f1f4910d6c49cbbbb0c69b415073e.diff,/path/to/signature/repo/bluekitchen@@btstack,/path/to/work
CVE-2023-46931,/path/to/commit_info/gpac@@gpac/CVE-2023-46931_671976fccc971b3dff8d3dcf6ebd600472ca64bf.diff,/path/to/signature/repo/gpac@@gpac,/path/to/work
CVE-2023-38712,/path/to/commit_info/libreswan@@libreswan/CVE-2023-38712_b2184520b314c4f3cbbf7f2cfd824be7f83b4929.diff,/path/to/signature/repo/libreswan@@libreswan,/path/to/work
